REG,Norte,Este,Elevacao
147,7825280.395030,685906.127371,823.000000
148,7825274.375934,685902.208531,822.000000
149,7825268.356837,685898.289691,821.000000
150,7825262.337741,685894.370851,820.000000
151,7825256.318644,685890.452011,819.000000
152,7825250.299548,685886.533171,818.000000
153,7825244.280452,685882.614331,817.000000
154,7825238.261355,685878.695491,816.000000
155,7825232.242259,685874.776651,815.000000
156,7825226.223162,685870.857811,814.000000
157,7825220.204066,685866.938971,813.000000
158,7825213.838330,685862.832080,812.000000
159,7825207.269012,685858.614746,811.000000
160,7825200.699695,685854.397413,810.000000
161,7825194.130377,685850.180079,809.000000
162,7825187.561059,685845.962746,808.000000
163,7825180.991742,685841.745412,807.000000
164,7825176.443207,685831.243044,806.000000
165,7825182.311032,685822.917083,805.000000
166,7825191.883342,685808.334667,803.000000
167,7825195.796929,685801.878179,802.000000
168,7825199.710517,685795.421690,801.000000
169,7825201.828902,685790.010665,800.000000
170,7825203.584793,685784.810744,799.000000
171,7825205.340685,685779.610822,798.000000
172,7825207.096577,685774.410901,797.000000
173,7825210.994597,685760.511124,794.000000
174,7825211.963332,685756.288207,793.000000
175,7825212.932066,685752.065290,792.000000
176,7825213.900800,685747.842373,791.000000
177,7825214.869534,685743.619456,790.000000
178,7825215.387297,685737.981350,789.000000
179,7825215.808072,685732.038884,788.000000
180,7825216.228846,685726.096418,787.000000
181,7825216.649620,685720.153952,786.000000
182,7825217.070395,685714.211486,785.000000
