Dist,Elev
215.222214,1312.233778
215.578858,1312.244805
215.688937,1312.245687
216.631026,1312.250279
217.946212,1312.277986
219.235814,1312.323033
222.782692,1312.446676
226.329569,1312.570013
229.876447,1312.692990
233.423324,1312.815553
238.770914,1313.000000
238.817380,1313.012000
238.826555,1313.011634
238.860682,1313.011598
238.867375,1313.011825
239.616884,1313.119732
240.221907,1313.202319
244.632071,1313.653004
246.986365,1313.574171
248.125309,1313.565696
249.552515,1313.576402
250.456475,1313.560528
252.379380,1313.579849
252.901961,1313.565915
253.315773,1313.565950
253.917811,1313.570626
254.545438,1313.575163
254.848390,1313.583106
255.987534,1313.715619
257.450237,1313.983587
257.807049,1313.906318
261.696286,1313.061272
261.877541,1313.021769
261.937808,1313.009932
261.964038,1313.010538
261.972414,1313.009934
261.992097,1313.010033
261.998610,1313.010348
265.239104,1313.377121
265.585523,1313.374717
267.171343,1313.360808
267.514932,1313.364850
267.686137,1313.371596
267.850529,1313.365672
268.021579,1313.367569
268.269945,1313.353437
268.745188,1313.353379
269.189299,1313.363080
269.254610,1313.359038
269.474761,1313.360007
269.539556,1313.360184
273.363998,1313.716031
276.414175,1314.000000
277.253236,1314.207168
277.273232,1314.212107
277.693342,1314.236167
278.440523,1314.237371
280.942221,1314.212082
281.105450,1314.208499
281.142473,1314.208556
281.866744,1314.208506
282.133154,1314.216118
282.161055,1314.218511
282.188787,1314.220881
284.336337,1314.294730
285.031710,1314.299635
285.266546,1314.300944
285.820237,1314.312562
286.248485,1314.314317
286.770549,1314.323478
287.341860,1314.323621
288.920948,1314.489087
290.269347,1314.630720
290.648386,1314.647630
290.994825,1314.662480
292.172174,1314.646162
292.255141,1314.668792
292.391174,1314.669212
292.558219,1314.672625
292.660175,1314.666801
292.765893,1314.660546
292.810185,1314.662569
293.017741,1314.671925
293.491746,1314.676761
293.555488,1314.679314
294.111549,1314.683913
294.452511,1314.683221
294.737300,1314.673780
296.699423,1314.683164
300.279083,1314.697501
300.339093,1314.698178
300.385827,1314.710332
300.588660,1314.714627
300.691450,1314.716770
300.931475,1314.715654
301.171520,1314.708712
301.458284,1314.715124
301.763861,1314.712845
301.855164,1314.710571
302.015989,1314.715132
302.529585,1314.717853
302.823820,1314.712649
304.554882,1314.712048
304.685259,1314.713543
305.060310,1314.710106
305.154064,1314.711074
306.104221,1314.702523
309.169931,1314.713110
309.653855,1314.716558
309.744762,1314.714524
309.984838,1314.715036
310.053686,1314.705219
311.271305,1314.693859
313.216859,1314.691344
313.304557,1314.700572
313.754711,1314.701476
314.489593,1314.685847
315.967766,1314.668809
316.390131,1314.671694
317.481529,1314.672133
318.252498,1314.662521
320.251450,1314.654660
320.552544,1314.657899
320.801784,1314.658937
321.067037,1314.660141
321.269089,1314.655558
321.487352,1314.640399
322.114209,1314.629391
323.339257,1314.630097
324.550430,1314.615745
324.911937,1314.616551
325.233337,1314.617509
325.690346,1314.630473
325.882853,1314.630617
326.236571,1314.627823
326.917592,1314.617058
327.934702,1314.614367
328.067571,1314.616478
328.641588,1314.610561
329.022090,1314.603360
329.133160,1314.601333
333.132243,1314.572558
333.197032,1314.572140
333.301675,1314.573714
333.673999,1314.568169
334.201492,1314.566518
334.414128,1314.569683
335.231558,1314.566552
335.707020,1314.558470
336.567822,1314.541039
337.242396,1314.540697
337.560092,1314.540774
338.792423,1314.542116
339.703219,1314.534523
340.335139,1314.525561
340.886565,1314.511936
341.352549,1314.510686
341.709641,1314.509995
341.949909,1314.509473
342.039313,1314.512600
342.549048,1314.510471
343.489447,1314.493126
343.710654,1314.485337
344.208149,1314.474920
345.333273,1314.470578
345.462701,1314.469203
345.695018,1314.466907
346.596330,1314.454794
346.942792,1314.455874
346.976083,1314.459366
348.112737,1314.473249
349.015005,1314.466297
349.404546,1314.455761
349.458310,1314.458436
349.572854,1314.456733
349.791970,1314.453626
350.171340,1314.453260
350.877111,1314.435820
351.596851,1314.427858
352.183636,1314.425751
352.521737,1314.420783
353.650048,1314.420531
353.683007,1314.420443
353.935393,1314.419958
354.341317,1314.417248
354.583659,1314.419286
355.699584,1314.410297
356.294863,1314.411651
356.577749,1314.426095
356.703007,1314.424057
357.718891,1314.437480
357.793160,1314.436827
358.672602,1314.429726
359.332492,1314.423847
360.177368,1314.423029
360.592429,1314.419718
360.954783,1314.422404
361.344545,1314.421473
361.858699,1314.413662
361.903313,1314.413541
363.916589,1314.409486
364.220288,1314.404912
364.615054,1314.408878
364.936939,1314.409527
365.196185,1314.404338
366.007812,1314.411077
366.013466,1314.411016
366.383364,1314.407138
367.230084,1314.412303
367.437988,1314.411594
368.467111,1314.448621
368.538767,1314.456414
369.122152,1314.474293
369.932047,1314.569537
371.193804,1314.738914
371.324824,1314.742357
371.429642,1314.748586
372.100825,1314.763584
372.311168,1314.761534
372.514602,1314.765853
373.111954,1314.773296
373.617628,1314.770810
373.737911,1314.771946
373.922451,1314.776880
374.085021,1314.773643
374.455046,1314.780409
374.750260,1314.777909
374.794166,1314.759197
374.846653,1314.734508
374.967174,1314.728670
375.658795,1314.768087
375.985723,1314.761121
376.565547,1314.765988
376.911353,1314.772366
377.134371,1314.769018
378.087307,1314.729204
378.154530,1314.722224
379.728054,1314.677162
379.730818,1314.673403
