Dist,Elev
423.228879,790.577225
424.667471,791
428.277262,791.961387
428.463189,792
428.664089,792.054131
432.79221,793
434.566667,793.431619
436.831383,794
438.821466,794.500881
440.922908,795
442.796728,795.446856
444.933184,796
446.655426,796.453259
448.837569,797
452.683658,797.836579
453.445843,798
457.715066,798.943267
457.956988,799
458.085726,799.039867
458.12532,799.040985
458.131738,799.04137
458.139693,799.042939
461.516458,799.886344
461.740809,799.942412
461.971123,800
464.272129,800.555987
466.232495,801
469.574616,801.746927
470.700891,802
473.794587,802.645565
475.430477,803
476.236942,803.165068
480.964615,804
483.665129,804.494195
486.544276,805
488.657046,805.384989
491.660737,805.887616
492.309563,806
497.448488,806.929379
497.862064,807
497.869836,807.002187
498.779068,807.262797
498.832736,807.278663
499.688299,807.459955
500.597531,807.661747
501.506762,807.8712
502.049957,808
502.415994,808.079466
503.325225,808.281047
504.234457,808.485349
505.143688,808.690889
505.715098,808.8199
506.05292,808.898781
506.491707,809
506.962151,809.115503
507.871383,809.334385
507.890317,809.33882
507.994491,809.364077
508.780614,809.557352
509.008629,809.611908
509.257019,809.6766
509.346116,809.696952
509.403986,809.696834
509.457704,809.684165
509.634724,809.621902
509.687055,809.609481
509.689845,809.609394
509.722354,809.607969
509.742442,809.614883
509.753349,809.624984
509.767283,809.633181
509.817881,809.633685
511.050918,809.483412
511.116143,809.478754
511.380424,809.469209
512.735452,809.206945
512.842445,809.193721
512.912631,809.191281
512.965675,809.195496
513.012362,809.204146
513.058748,809.216984
513.17362,809.256467
513.25068,809.27984
513.337309,809.297367
513.620411,809.334218
513.713744,809.339203
513.808958,809.33655
513.916776,809.33674
514.066724,809.350777
514.344261,809.396492
515.017377,809.528885
515.415613,809.605841
517.283292,810
520.949726,810.538103
523.941201,811
528.779424,811.639634
531.461765,812
535.793051,812.56769
539.019029,813
541.616563,813.383944
546.185213,814
549.662573,814.545291
552.152872,815
555.058557,815.537331
557.526594,816
558.703504,816.232027
562.703961,817
563.791599,817.215151
567.880324,818
572.261709,818.887441
572.830293,819
573.628717,819.163267
576.864698,820
581.103993,820.825963
581.992177,821
582.330565,821.066532
582.406209,821.081183
582.473666,821.094826
586.736146,822
589.432464,822.554895
591.525059,823
593.920894,823.519198
595.497166,823.856808
596.163129,824
596.297866,824.028763
597.098565,824.20037
597.899265,824.371692
598.699964,824.541761
598.737397,824.549667
600.856821,825
602.517454,825.33899
605.646444,826
608.091543,826.502178
610.503977,827
613.079792,827.518058
615.797484,828
619.853189,828.748588
621.394361,829
623.921466,829.396355
626.526724,829.800604
