Dist,Elev
82.933231,1338.458692
83.800897,1338.538002
84.400641,1338.581022
84.41696,1338.582469
84.956002,1338.62925
85.569915,1338.620378
86.203961,1338.627783
86.805957,1338.669736
87.842895,1338.740177
88.202868,1338.723361
88.243653,1338.736195
88.790943,1338.792138
89.194954,1338.823751
91.487992,1339
91.583951,1339.01819
92.366712,1339.163767
92.721367,1339.201988
93.04254,1339.210702
93.608667,1339.268512
93.82025,1339.309235
93.972948,1339.337851
94.008762,1339.34452
95.069164,1339.453725
95.323194,1339.467764
96.212027,1339.581377
96.328991,1339.576479
96.361945,1339.574758
97.448271,1339.515393
97.976754,1339.551035
98.617178,1339.677967
99.43544,1339.76281
99.902306,1339.826154
100.170679,1339.839022
100.941386,1339.869474
101.206459,1339.886753
101.309585,1339.890706
101.700052,1339.862859
102.320359,1339.863837
103.862934,1339.961436
103.86473,1339.962383
103.946516,1339.965809
103.959945,1339.966316
103.973,1339.966762
104.011587,1339.969476
105.201917,1339.919846
106.181763,1339.8573
106.469959,1339.870234
106.653004,1339.890888
108.352253,1339.887568
108.529778,1339.876246
108.748495,1339.769966
109.025274,1339.744918
109.34328,1339.729013
110.049538,1339.723645
112.078531,1339.861835
113.794935,1339.977755
114.130409,1340
115.23575,1340.288571
115.379601,1340.337507
115.505501,1340.377351
115.51134,1340.377204
115.969975,1340.364773
116.573977,1340.393881
117.227745,1340.388777
117.908088,1340.382066
118.588164,1340.361123
118.81252,1340.357999
118.94415,1340.360594
119.169013,1340.36437
119.697328,1340.32565
120.335353,1340.369877
120.660555,1340.389817
120.906836,1340.403959
121.533081,1340.408185
122.37696,1340.390445
122.721687,1340.382795
123.26092,1340.383581
123.781057,1340.38296
124.093365,1340.382326
124.313745,1340.381432
125.076769,1340.340547
125.773362,1340.315329
125.80977,1340.313747
126.441699,1340.2864
126.922813,1340.269869
127.495548,1340.247377
127.526175,1340.24648
127.935901,1340.234346
128.214784,1340.229315
128.451021,1340.220976
128.552892,1340.218382
128.660751,1340.212105
128.782946,1340.208581
128.876659,1340.194679
129.024197,1340.187893
129.22197,1340.185356
129.24258,1340.184984
129.745183,1340.175596
129.754539,1340.174623
130.119177,1340.167328
130.168428,1340.166016
130.299028,1340.162658
130.424489,1340.159483
130.678084,1340.158752
130.867811,1340.159375
130.958985,1340.158037
131.148075,1340.155132
131.471426,1340.15364
131.591903,1340.151677
131.895153,1340.146055
131.962918,1340.142806
131.975058,1340.140905
132.033907,1340.138456
132.239826,1340.137822
132.315643,1340.136986
132.470113,1340.132319
132.61184,1340.130531
132.67539,1340.128923
132.675672,1340.128915
132.890559,1340.126205
132.944321,1340.121777
134.391794,1340.118203
134.502992,1340.117839
134.544287,1340.122201
134.679888,1340.126157
134.751147,1340.129503
134.793069,1340.130521
134.984267,1340.133836
135.215984,1340.13366
135.821013,1340.151561
136.108199,1340.157352
137.61478,1340.18631
137.824604,1340.190001
139.285277,1340.214274
139.541009,1340.212823
141.758552,1340.199349
144.33614,1340.181623
144.627619,1340.176223
144.81685,1340.125605
145.088566,1340.119277
145.282819,1340.116254
145.357721,1340.115228
145.388133,1340.115145
145.578919,1340.111507
145.666796,1340.108379
145.709518,1340.106152
145.714737,1340.105642
145.719907,1340.105139
145.771606,1340.104607
145.784179,1340.103819
145.822326,1340.103278
148.785452,1340.137864
148.79367,1340.139193
148.831341,1340.14065
150.243913,1340.138258
152.099831,1340.118031
152.675378,1340.138572
152.822804,1340.131854
152.972562,1340.124946
157.018396,1340.145941
157.120814,1340.145889
157.46076,1340.162861
158.34245,1340.18325
158.748406,1340.220766
160.360336,1340.245645
161.257385,1340.253741
162.143873,1340.323047
162.89988,1340.321712
166.847446,1340.372049
168.27797,1340.373227
168.487794,1340.366214
168.702395,1340.358957
168.886996,1340.350426
177.226486,1340.17769
178.591022,1340.149024
178.750916,1340.145575
178.785845,1340.144678
178.887934,1340.143891
179.048069,1340.139879
179.199614,1340.136174
179.336636,1340.139242
179.427729,1340.138607
179.655774,1340.132008
179.703783,1340.128678
179.77461,1340.12717
179.855116,1340.128241
179.955557,1340.126054
180.05815,1340.123762
180.143901,1340.124203
180.343053,1340.122049
180.490059,1340.12447
180.548763,1340.12409
180.793216,1340.126065
180.809569,1340.130469
180.852271,1340.131219
180.959162,1340.135456
181.141106,1340.138025
181.320093,1340.139041
181.353832,1340.139194
181.554911,1340.139369
181.639316,1340.1388
182.684629,1340.18099
184.049165,1340.234054
184.145116,1340.237712
184.253395,1340.241038
184.426723,1340.238632
184.863749,1340.247247
186.107629,1340.225196
186.16878,1340.174349
187.857133,1340.115338
188.205353,1340.112257
189.974759,1340.128357
190.929446,1340.175929
190.943085,1340.18343
191.762533,1340.196515
196.570325,1340.112172
197.334838,1340.076383
199.012802,1340.400365
204.909136,1340
213.055681,1340.295312
213.275399,1340.2959
213.494949,1340.29585
214.111916,1340.300311
214.431785,1340.294282
214.579244,1340.293871
214.982433,1340.297587
215.004256,1340.30366
215.53376,1340.298259
215.62939,1340.29739
216.589459,1340.295286
216.609568,1340.295067
216.629648,1340.29485
216.873515,1340.305683
218.213269,1340.368624
219.553024,1340.434787
220.892779,1340.503956
222.232533,1340.575909
223.572288,1340.650412
224.912043,1340.727223
226.251798,1340.806093
227.591552,1340.886767
228.931307,1340.968983
229.429022,1341
230.271062,1340.97395
231.610817,1340.932003
232.950571,1340.889693
234.290326,1340.847157
235.630081,1340.804533
236.576693,1340.774419
236.73676,1340.765957
236.896543,1340.77304
237.763903,1340.765554
239.926858,1340.747365
240.625201,1340.742535
240.955674,1340.748522
242.087796,1340.739392
243.674051,1340.720607
244.282786,1340.715208
253.651642,1340.444882
262.187336,1340.11677
267.113778,1340.285413
267.201194,1340.288931
267.51851,1340.293062
268.804766,1340.299109
269.173137,1340.294675
