Nome,Ticker
LUPATECH ON,LUPA11
LUPATECH ON,LUPA3
M.DIASBRANCO ON,MDIA3
MAESTROLOC ON,MSRO3
MAGAZ LUIZA ON,MGLU3
METAL LEVE ON,LEVE3
MANGELS INDL ON,MGEL3
MANGELS INDL PN,MGEL4
ESTRELA PN,ESTR4
ESTRELA ON,ESTR3
Marcopolo ON,POMO3
Marcopolo PN,POMO4
MARFRIG ON,MRFG3
MENDES JR PNA,MEND5
MENDES JR ON,MEND3
MENDES JR PNB,MEND6
MERC FINANC PN,MERC4
MERC FINANC ON,MERC3
Metalfrio Solutions ON,FRIO3
METAL IGUACU ON,MTIG3
METAL IGUACU PN,MTIG4
GERDAU MET ON,GOAU3
GERDAU MET PN,GOAU4
RIOSULENSE PN,RSUL4
RIOSULENSE ON,RSUL3
METISA ON,MTSA3
METISA PN,MTSA4
Midlarge Cap,MLCX11
MILLS ON,MILS3
MINASMAQUINA PN,MMAQ4
MINASMAQUINA ON,MMAQ3
MINERVA ON,BEEF3
MINERVA ON,BEEF11
MINUPAR ON,MNPR3
MMX MINER,MMXM11
MMX MINER ON,MMXM3
MONT ARANHA ON,MOAR3
MOVIDA ON,MOVI3
MRS LOGIST PNA,MRSA5B
MRS LOGIST ON,MRSA3B
MRS LOGIST PNB,MRSA6B
MRV ON,MRVE3
MULTIPLAN ON,MULT3
MUNDIAL ON,MNDL3
NADIR FIGUEI ON,NAFG3
NADIR FIGUEI PN,NAFG4
NATURA ON,NATU3
NEOENERGIA ON,NEOE3
NORDON MET ON,NORD3
NORTCQUIMICA ON,NRTQ3
NUTRIPLANT ON,NUTR3
ODONTOPREV ON,ODPV3
DOMMO ON,DMMO3
DOMMO ON,DMMO11
OI PN,OIBR4
OI ON,OIBR3
OMEGA GER ON,OMGE3
OPPORT ENERG ON,OPHE3B
OSX BRASIL ON,OSXB3
OUROFINO S/A ON,OFSA3
PANATLANTICA PN,PATI4
PANATLANTICA ON,PATI9L
PANATLANTICA ON,PATI3
PANATLANTICA ON,PATI9
PANATLANTICA PN,PATI10L
PANATLANTICA PN,PATI10
PARANAPANEMA ON,PMAM3
PBG ON,PTBL3
PDG REALT ON,PDGR3
PETRORIO ON,PRIO3
PETROBRAS BR ON,BRDT3
PETROBRAS ON,PETR3
PETROBRAS PN,PETR4
PETTENATI ON,PTNT3
PETTENATI PN,PTNT4
PLASCAR PART ON,PLAS3
PLASCAR PART ON,PLAS11
POLPAR ON,PPAR3
POMIFRUTAS ON,FRTA3
PORTO SEGURO ON,PSSA3
PORTO SUDESTE VM,PSVM11
POSITIVO TEC ON,POSI3
PRATICA PNR M2 ON,PTCA3
PRATICA PNR M2 PN,PTCA11
CEPAC - PMSP,PMSP11B
CEPAC - PMSP,PMSP12B
CEPAC - PMSP,PMSP12BL
CEPAC - PMSP,PMSP13B
PRINER ON,PRNR3
PROMAN ON,PRMN3B
PROFARMA ON,PFRM3
PROMPT PART ON,PRPT3B
QUALICORP ON,QUAL3
QUALITY SOFT ON,QUSW3
RAIADROGASIL ON,RADL3
RANDON PART PN,RAPT4
RANDON PART ON,RAPT3
RECRUSUL PN,RCSL4
RECRUSUL ON,RCSL3
REDE ENERGIA ON,REDE3
PET MANGUINH ON,RPMG3
RENOVA ON,RNEW3
RENOVA PN,RNEW4
LE LIS BLANC ON,LLIS3
GER PARANAP PN,GEPA4
GER PARANAP ON,GEPA3
RNI ON,RDNI3
ROSSI RESID ON,RSID3
ALL NORTE PNB,FRRN6B
ALL NORTE ON,FRRN3B
ALL NORTE PNA,FRRN5B
RUMO ON,RAIL3
SANSUY ON,SNSY3
SANSUY PNB,SNSY6
SANSUY PNA,SNSY5
SANTOS BRP ON,STBP3
SAO CARLOS ON,SCAR3
SAO MARTINHO ON,SMTO3
ALPARGATAS ON,ALPA3
ALPARGATAS PN,ALPA4
SPTURIS ON,AHEB3
SPTURIS PNA,AHEB5
SPTURIS PNB,AHEB6
SARAIVA LIVR ON,SLED1
SARAIVA LIVR,SLED12
SARAIVA LIVR PN,SLED4
SARAIVA LIVR ON,SLED3
SARAIVA LIVR PN,SLED2
Sauipe Sa (ex Parseg Par... ON,PSEG3
Sauipe Sa (ex Parseg Par... PN,PSEG4
SCHULZ PN,SHUL4
SCHULZ ON,SHUL3
SER EDUCA ON,SEER3
ALIPERTI ON,APTI3
ALIPERTI PN,APTI4
SINQIA ON,SQIA3
SLC AGRICOLA ON,SLCE3
Small Cap,SMLL11
SMART FIT PNA,SMFT13
SMART FIT PNB,SMFT6
SMART FIT ON,SMFT3
SMILES ON,SMLS3
ALIANSCSONAE ON,ALSO3
SONDOTECNICA PNB,SOND6
SONDOTECNICA PNA,SOND5
SONDOTECNICA ON,SOND3
SPRINGER ON,SPRI3
SPRINGER PNA,SPRI5
SPRINGER PNB,SPRI6
